NAME,ELO,YEAR
Monmouth,1769.00954619,2016.0
Texas,1768.78032478,2012.0
Purdue,1768.34854984,2012.0
Oklahoma,1767.43709644,2013.0
Memphis,1767.10431867,2017.0
Vanderbilt,1766.73913819,2013.0
Stony Brook,1766.01876375,2016.0
Illinois State,1765.80952376,2016.0
Auburn,1765.56898062,2017.0
Texas-El Paso,1764.77932156,2015.0
Maryland,1764.77707688,2013.0
Syracuse,1764.47562554,2011.0
Penn State,1764.31259563,2015.0
Connecticut,1763.21031742,2012.0
Oregon,1762.77060344,2012.0
Delaware,1762.57451064,2014.0
Long Island University,1762.40578688,2011.0
Nevada,1762.16218435,2012.0
North Carolina Central,1761.99957903,2014.0
Gonzaga,1761.56994126,2011.0
Tennessee,1760.92405497,2012.0
UC-Irvine,1760.82092439,2015.0
Long Island University,1760.72093806,2012.0
Oakland,1760.37017108,2011.0
Louisville,1759.09620696,2011.0
Mississippi State,1758.47282345,2016.0
Georgetown,1757.70910562,2017.0
Mercer,1755.87301314,2014.0
Cal State Bakersfield,1755.42893209,2016.0
Louisiana Tech,1754.76146807,2016.0
Alabama,1754.26491368,2012.0
South Dakota State,1754.00489239,2015.0
Mississippi,1753.30179294,2014.0
New Mexico State,1753.2878446,2012.0
Minnesota,1753.14567812,2013.0
South Dakota,1752.16654988,2017.0
Colorado,1751.79636641,2015.0
Iona,1751.3264952,2015.0
Weber State,1751.14239629,2016.0
Nebraska,1751.09114959,2016.0
Eastern Kentucky,1750.58850098,2014.0
Oakland,1750.1843589,2016.0
Boise State,1749.94347285,2014.0
Colorado State,1749.65554391,2012.0
George Mason,1749.39465247,2012.0
Sam Houston State,1749.28531034,2015.0
South Florida,1748.71649939,2012.0
Central Florida,1747.3529318,2012.0
Temple,1747.10337457,2011.0
Louisiana Tech,1746.73687061,2017.0
Purdue,1746.69161528,2011.0
UC-Santa Barbara,1746.64208371,2016.0
Washington,1746.5220349,2012.0
Arizona,1745.92980436,2011.0
Davidson,1745.9147943,2012.0
Texas,1745.26119285,2013.0
Xavier,1745.16686829,2011.0
George Mason,1745.08883676,2017.0
Northwestern,1744.6768644,2015.0
Iona,1744.56599247,2012.0
Louisiana State,1744.05505081,2013.0
Butler,1743.95313257,2011.0
IPFW,1743.90696089,2016.0
Mississippi State,1743.1886679,2017.0
Bucknell,1743.14134538,2017.0
University of California,1743.11183646,2012.0
Indiana State,1742.56669236,2014.0
New Mexico,1741.75980959,2017.0
Yale,1741.71415986,2017.0
Louisiana Tech,1741.64590199,2013.0
Kansas State,1741.28537729,2011.0
Northern Iowa,1741.01255711,2017.0
Tennessee,1740.93855073,2016.0
Memphis,1740.41560584,2011.0
UC-Davis,1740.11351171,2015.0
St. Bonaventure,1739.74866091,2012.0
Arkansas,1739.69837374,2013.0
Nevada-Las Vegas,1739.6113655,2011.0
Southern Mississippi,1739.54395912,2012.0
Auburn,1739.46431236,2015.0
Louisiana-Monroe,1739.44596708,2016.0
Brigham Young,1739.38120287,2013.0
Manhattan,1739.09909281,2014.0
UC-Irvine,1738.84350472,2017.0
Princeton,1738.08464527,2011.0
Wisconsin,1737.88626038,2011.0
Nebraska,1737.41871841,2017.0
Mississippi,1737.36775776,2012.0
Texas-El Paso,1736.72218822,2011.0
Detroit Mercy,1736.39624735,2012.0
Nevada-Las Vegas,1735.77054869,2016.0
Ball State,1735.75542423,2017.0
Wright State,1735.64201978,2016.0
St. Bonaventure,1735.46285086,2015.0
Fresno State,1734.40881486,2014.0
North Dakota,1734.4020955,2017.0
Alabama-Birmingham,1734.26682175,2015.0
Grand Canyon,1733.90239577,2016.0
Nevada-Las Vegas,1733.89235752,2015.0
UC-Santa Barbara,1733.71222554,2015.0
Creighton,1733.20196041,2015.0
Washington,1733.16750165,2014.0
Providence,1731.93938877,2013.0
Stanford,1731.4209913,2013.0
Bucknell,1730.45164469,2011.0
West Virginia,1729.96764426,2012.0
Nevada,1729.73446617,2016.0
Cincinnati,1729.7091061,2011.0
Central Florida,1729.41690971,2013.0
Rhode Island,1728.56855664,2016.0
Ohio,1728.3574586,2017.0
Buffalo,1728.13940436,2017.0
Utah State,1728.04669807,2015.0
Marshall,1728.00912848,2017.0
Ohio,1727.85533482,2016.0
Morehead State,1726.99751965,2011.0
Purdue,1726.76674599,2013.0
Washington,1726.65094011,2013.0
Davidson,1726.59075765,2014.0
North Carolina Central,1726.52450869,2015.0
Southern Illinois,1726.37875066,2017.0
Temple,1726.2832704,2017.0
Xavier,1726.17752288,2012.0
UC-Davis,1726.13863585,2017.0
Troy,1726.13232121,2017.0
Colorado State,1725.77748344,2016.0
North Carolina State,1725.40297012,2012.0
St. John's (NY),1725.39140422,2011.0
Seton Hall,1723.87988563,2014.0
Cleveland State,1723.72184624,2014.0
South Dakota State,1723.5585645,2014.0
Marshall,1723.07299806,2012.0
Utah State,1722.80971939,2014.0
Marquette,1722.50445709,2015.0
East Tennessee State,1722.41308214,2016.0
Alabama-Birmingham,1722.13638292,2011.0
Akron,1721.76412019,2014.0
Eastern Washington,1721.50993993,2015.0
Missouri State,1721.35566878,2011.0
Lehigh,1721.13183299,2012.0
Santa Clara,1721.02971396,2017.0
Western Michigan,1720.96225704,2017.0
North Carolina-Asheville,1720.8757787,2017.0
Pepperdine,1720.83432094,2016.0
Coastal Carolina,1720.39310483,2011.0
Texas A&M,1720.06771263,2011.0
Old Dominion,1719.76468081,2017.0
Ohio,1719.45636258,2014.0
